;ExperimentName;Subject;Session;Age;Clock.Information;Display.RefreshRate;Group;Handedness;Name;RandomSeed;SessionDate;SessionTime;Sex;Block;blocklist;blocklist.Cycle;blocklist.Sample;blocklistp;blocklistp.Cycle;blocklistp.Sample;practisexp;Procedure[Block];Running[Block];Trial;Accuracy;blank.DurationError;blank.OnsetDelay;blank.OnsetTime;changecorrect;changedetected;changetype;firstG;firstL;matrix1.ACC;matrix1.CRESP;matrix1.DurationError;matrix1.OnsetDelay;matrix1.OnsetTime;matrix1.RESP;matrix1.RT;matrix1.RTTime;Procedure[Trial];Rating;rating.ACC;rating.CRESP;rating.DurationError;rating.OnsetDelay;rating.OnsetTime;rating.RESP;rating.RT;rating.RTTime;Running[Trial];s1;s2;s3;s4;s5;s6;s7;s8;s9;secondG;sencondL;triallist;triallist.Cycle;triallist.Sample;triallistp;triallistp.Cycle;triallistp.Sample;x9;y9
72;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;67;1;1;1;1552602;5;5;G;C;F;0;;0;6;1543731;{SPACE};8368;1552099;trialproc;5;0;;-999999;10;1552613;1;1060;1553673;triallist;BMPs/Nk.bmp;BMPs/Hz.bmp;BMPs/Uz.bmp;BMPs/Ua.bmp;BMPs/Cf.bmp;BMPs/Fe.bmp;BMPs/Ae.bmp;BMPs/Fk.bmp;BMPs/Zf.bmp;Z;F;897.0;1.0;67.0;;;;50;85
73;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;68;1;0;2;1571662;5;5;L;M;K;0;;0;7;1556964;{SPACE};14194;1571158;trialproc;5;0;;-999999;7;1571670;1;1628;1573298;triallist;BMPs/Oe.bmp;BMPs/Hu.bmp;BMPs/Ce.bmp;BMPs/Mn.bmp;BMPs/Mk.bmp;BMPs/Kc.bmp;BMPs/Fh.bmp;BMPs/Ma.bmp;BMPs/Me.bmp;M;E;590.0;1.0;68.0;;;;50;85
74;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;69;1;0;2;1586397;5;5;L;N;A;0;;0;11;1576200;{SPACE};9693;1585893;trialproc;5;0;;-999999;7;1586405;1;1190;1587595;triallist;BMPs/Ek.bmp;BMPs/Fc.bmp;BMPs/Cz.bmp;BMPs/Zh.bmp;BMPs/Na.bmp;BMPs/Oa.bmp;BMPs/Mh.bmp;BMPs/On.bmp;BMPs/No.bmp;N;O;798.0;1.0;69.0;;;;50;85
75;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;70;1;0;2;1602290;4;4;L;C;A;0;;0;6;1590833;{SPACE};10953;1601786;trialproc;4;0;;-999999;7;1602298;1;2628;1604926;triallist;BMPs/Mo.bmp;BMPs/Kc.bmp;BMPs/Oc.bmp;BMPs/Ca.bmp;BMPs/Nz.bmp;BMPs/Zu.bmp;BMPs/Eu.bmp;BMPs/Mn.bmp;BMPs/Cn.bmp;C;N;805.0;1.0;70.0;;;;71;73
76;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;71;1;0;2;1616407;1;1;G;Z;F;0;;0;6;1609608;{SPACE};6295;1615903;trialproc;1;0;;-999999;7;1616415;1;1484;1617899;triallist;BMPs/Zf.bmp;BMPs/Of.bmp;BMPs/Cm.bmp;BMPs/Hn.bmp;BMPs/Ck.bmp;BMPs/Nm.bmp;BMPs/Fu.bmp;BMPs/Mn.bmp;BMPs/Ef.bmp;E;F;461.0;1.0;71.0;;;;50;15
77;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;72;1;0;2;1624386;7;7;G;M;H;0;;0;6;1620792;{SPACE};3090;1623882;trialproc;7;0;;-999999;9;1624396;1;1925;1626321;triallist;BMPs/Am.bmp;BMPs/Nm.bmp;BMPs/Oe.bmp;BMPs/Mk.bmp;BMPs/Zn.bmp;BMPs/Zm.bmp;BMPs/Mh.bmp;BMPs/Uk.bmp;BMPs/Ch.bmp;C;H;764.0;1.0;72.0;;;;20;50
78;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;73;1;0;2;1634274;8;8;GL;F;N;0;;0;7;1629189;{SPACE};4581;1633770;trialproc;8;0;;-999999;7;1634282;1;1258;1635540;triallist;BMPs/Am.bmp;BMPs/Ez.bmp;BMPs/Ze.bmp;BMPs/Ho.bmp;BMPs/Af.bmp;BMPs/Hz.bmp;BMPs/Ea.bmp;BMPs/Fn.bmp;BMPs/Za.bmp;Z;A;206.0;1.0;73.0;;;;29;27
79;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;74;1;0;2;1644693;8;8;GL;F;U;0;;0;6;1638561;{SPACE};5628;1644189;trialproc;8;0;;-999999;7;1644701;1;1316;1646017;triallist;BMPs/Mh.bmp;BMPs/Zf.bmp;BMPs/Ak.bmp;BMPs/Am.bmp;BMPs/Cn.bmp;BMPs/Oz.bmp;BMPs/Fm.bmp;BMPs/Fu.bmp;BMPs/Ch.bmp;C;H;123.0;1.0;74.0;;;;29;27
80;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;75;1;0;2;1656527;2;2;GL;N;Z;0;;0;7;1648959;{SPACE};7064;1656023;trialproc;2;0;;-999999;8;1656536;1;1538;1658074;triallist;BMPs/Fz.bmp;BMPs/Nz.bmp;BMPs/Uf.bmp;BMPs/Eo.bmp;BMPs/En.bmp;BMPs/Oe.bmp;BMPs/Hm.bmp;BMPs/Om.bmp;BMPs/Of.bmp;O;F;193.0;1.0;75.0;;;;71;28
81;Hierarchical-CB-8-CIRCLE_v5;8;1;47;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">286950243501</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-21T15:52:07Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;JuanCarlos;-810745256;05-21-2017;17:52:07;hombre;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;76;1;0;2;1667005;1;1;G;E;O;0;;0;10;1662032;{SPACE};4469;1666501;trialproc;1;0;;-999999;10;1667016;1;1373;1668389;triallist;BMPs/Eo.bmp;BMPs/Ka.bmp;BMPs/Ef.bmp;BMPs/Ze.bmp;BMPs/Uh.bmp;BMPs/Zf.bmp;BMPs/Eu.bmp;BMPs/Nu.bmp;BMPs/Mo.bmp;M;O;431.0;1.0;76.0;;;;50;15
